----------------------------------
| state | city        | zipWHERE |
==================================
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
| :CA   | :LOSANGELES |          |
----------------------------------
